Year,Month,State,Age Group,Footnote,COVID-19 Deaths,Total Deaths,Pneumonia Deaths,Pneumonia and COVID-19 Deaths,Influenza Deaths,"Pneumonia, Influenza, or COVID-19 Deaths"
2020,1,Alabama,All Ages,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,4,4729,282,0,35,318
2020,1,Alabama,Under 1 year,,0,31,0,0,0,0
2020,1,Alabama,1-4 years,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,0,12,4,0,0,4
2020,1,Alabama,5-14 years,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,0,16,4,0,0,4
2020,1,Alabama,15-24 years,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,0,56,0,0,4,4
2020,1,Alabama,25-34 years,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,0,77,4,0,0,4
2020,1,Alabama,35-44 years,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,0,132,4,0,4,4
2020,1,Alabama,45-54 years,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,0,297,18,0,4,21
2020,1,Alabama,55-64 years,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,4,719,41,0,11,53
2020,1,Alabama,65-74 years,,0,1034,64,0,11,75
2020,1,Alabama,75-84 years,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,0,1178,86,0,4,91
2020,1,Alabama,85 years and over,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,0,1177,64,0,4,65
2020,2,Alabama,All Ages,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,4,4627,276,0,39,316
2020,2,Alabama,Under 1 year,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,0,40,0,0,4,4
2020,2,Alabama,1-4 years,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,0,4,0,0,4,4
2020,2,Alabama,5-14 years,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,0,4,0,0,0,0
2020,2,Alabama,15-24 years,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,0,49,4,0,0,4
2020,2,Alabama,25-34 years,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,0,93,4,0,4,4
2020,2,Alabama,35-44 years,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,0,153,4,0,4,4
2020,2,Alabama,45-54 years,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,0,295,12,0,4,16
2020,2,Alabama,55-64 years,,0,743,59,0,12,71
2020,2,Alabama,65-74 years,,0,968,60,0,12,72
2020,2,Alabama,75-84 years,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,0,1159,76,0,4,79
2020,2,Alabama,85 years and over,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,4,1114,61,0,4,63
2020,3,Alabama,All Ages,,48,4756,287,10,33,357
2020,3,Alabama,Under 1 year,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,0,24,4,0,0,4
2020,3,Alabama,1-4 years,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,0,4,0,0,0,0
2020,3,Alabama,5-14 years,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,0,4,0,0,0,0
2020,3,Alabama,15-24 years,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,0,51,4,0,4,4
2020,3,Alabama,25-34 years,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,4,113,4,0,4,4
2020,3,Alabama,35-44 years,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,4,164,4,4,4,4
2020,3,Alabama,45-54 years,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,4,314,20,4,4,32
2020,3,Alabama,55-64 years,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,4,706,49,4,4,61
2020,3,Alabama,65-74 years,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,14,1051,62,4,4,81
2020,3,Alabama,75-84 years,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,4,1165,87,4,4,98
2020,3,Alabama,85 years and over,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,10,1151,58,4,4,70
2020,4,Alabama,All Ages,,339,4877,352,97,10,603
2020,4,Alabama,Under 1 year,,0,31,0,0,0,0
2020,4,Alabama,1-4 years,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,0,4,0,0,0,0
2020,4,Alabama,5-14 years,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,0,14,4,0,0,4
2020,4,Alabama,15-24 years,,0,61,0,0,0,0
